,OrderWeek,Segment,City,State,Region,SubCategory,Discount
0,45,Consumer,Henderson,Kentucky,South,Bookcases,0.0
1,45,Consumer,Henderson,Kentucky,South,Chairs,0.0
2,23,Corporate,Los Angeles,California,West,Labels,0.0
3,41,Consumer,Fort Lauderdale,Florida,South,Tables,0.45
4,41,Consumer,Fort Lauderdale,Florida,South,Storage,0.2
5,24,Consumer,Los Angeles,California,West,Furnishings,0.0
6,24,Consumer,Los Angeles,California,West,Art,0.0
7,24,Consumer,Los Angeles,California,West,Phones,0.2
8,24,Consumer,Los Angeles,California,West,Binders,0.2
9,24,Consumer,Los Angeles,California,West,Appliances,0.0
10,24,Consumer,Los Angeles,California,West,Tables,0.2
11,24,Consumer,Los Angeles,California,West,Phones,0.2
12,15,Consumer,Concord,North Carolina,South,Paper,0.2
13,49,Consumer,Seattle,Washington,West,Binders,0.2
16,46,Consumer,Madison,Wisconsin,Central,Storage,0.0
17,20,Consumer,West Jordan,Utah,West,Storage,0.0
18,35,Consumer,San Francisco,California,West,Art,0.0
19,35,Consumer,San Francisco,California,West,Phones,0.2
20,35,Consumer,San Francisco,California,West,Binders,0.2
21,49,Corporate,Fremont,Nebraska,Central,Art,0.0
22,49,Corporate,Fremont,Nebraska,Central,Appliances,0.0
23,28,Consumer,Philadelphia,Pennsylvania,East,Chairs,0.3
24,39,Consumer,Orem,Utah,West,Tables,0.0
25,2,Consumer,Los Angeles,California,West,Binders,0.2
27,38,Consumer,Philadelphia,Pennsylvania,East,Bookcases,0.5
29,38,Consumer,Philadelphia,Pennsylvania,East,Furnishings,0.2
30,38,Consumer,Philadelphia,Pennsylvania,East,Envelopes,0.2
31,38,Consumer,Philadelphia,Pennsylvania,East,Art,0.2
33,38,Consumer,Philadelphia,Pennsylvania,East,Art,0.2
34,42,Home Office,Houston,Texas,Central,Paper,0.2
35,49,Corporate,Richardson,Texas,Central,Phones,0.2
37,52,Home Office,Houston,Texas,Central,Envelopes,0.2
38,52,Home Office,Houston,Texas,Central,Bookcases,0.32
39,52,Home Office,Houston,Texas,Central,Chairs,0.3
40,52,Home Office,Houston,Texas,Central,Phones,0.2
41,36,Corporate,Naperville,Illinois,Central,Phones,0.2
42,28,Corporate,Los Angeles,California,West,Storage,0.0
43,38,Corporate,Melbourne,Florida,South,Storage,0.2
44,10,Corporate,Eagan,Minnesota,Central,Accessories,0.0
45,10,Corporate,Eagan,Minnesota,Central,Binders,0.0
46,43,Consumer,Westland,Michigan,Central,Storage,0.0
47,25,Consumer,Dover,Delaware,East,Accessories,0.0
48,25,Consumer,Dover,Delaware,East,Phones,0.0
49,16,Consumer,New Albany,Indiana,Central,Binders,0.0
50,2,Consumer,Los Angeles,California,West,Accessories,0.0
51,16,Consumer,New Albany,Indiana,Central,Furnishings,0.0
52,16,Consumer,New Albany,Indiana,Central,Chairs,0.0
53,49,Corporate,New York City,New York,East,Fasteners,0.0
54,49,Corporate,New York City,New York,East,Phones,0.0
55,24,Consumer,Troy,New York,East,Storage,0.0
56,24,Consumer,Troy,New York,East,Paper,0.0
57,24,Consumer,Troy,New York,East,Chairs,0.1
58,24,Consumer,Troy,New York,East,Paper,0.0
59,24,Consumer,Troy,New York,East,Accessories,0.0
60,24,Consumer,Troy,New York,East,Binders,0.2
61,24,Consumer,Troy,New York,East,Art,0.0
62,48,Consumer,Los Angeles,California,West,Accessories,0.0
63,48,Consumer,Los Angeles,California,West,Binders,0.2
64,48,Consumer,Los Angeles,California,West,Paper,0.0
65,48,Consumer,Los Angeles,California,West,Furnishings,0.0
66,18,Home Office,Chicago,Illinois,Central,Chairs,0.3
67,49,Corporate,Gilbert,Arizona,West,Art,0.2
68,49,Corporate,Gilbert,Arizona,West,Phones,0.2
69,22,Consumer,Springfield,Virginia,South,Paper,0.0
70,37,Consumer,New York City,New York,East,Binders,0.2
71,37,Consumer,Jackson,Michigan,Central,Paper,0.0
72,17,Consumer,Memphis,Tennessee,South,Chairs,0.2
73,17,Consumer,Memphis,Tennessee,South,Furnishings,0.2
74,17,Consumer,Memphis,Tennessee,South,Storage,0.2
77,49,Corporate,Houston,Texas,Central,Storage,0.2
79,23,Corporate,Decatur,Alabama,South,Appliances,0.0
80,23,Corporate,Decatur,Alabama,South,Binders,0.0
81,41,Consumer,San Francisco,California,West,Art,0.0
82,41,Consumer,San Francisco,California,West,Storage,0.0
83,36,Corporate,Durham,North Carolina,South,Envelopes,0.2
84,46,Home Office,Chicago,Illinois,Central,Storage,0.2
